Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1961","1961","1000 Int. $","1062474","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1962","1962","1000 Int. $","1209209","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1963","1963","1000 Int. $","1229884","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1964","1964","1000 Int. $","865154","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1965","1965","1000 Int. $","924973","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1966","1966","1000 Int. $","1035977","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1967","1967","1000 Int. $","1967574","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1968","1968","1000 Int. $","1075522","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1969","1969","1000 Int. $","1079536","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1970","1970","1000 Int. $","1240322","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1971","1971","1000 Int. $","1735127","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1972","1972","1000 Int. $","1911971","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1973","1973","1000 Int. $","843475","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1974","1974","1000 Int. $","2224712","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1975","1975","1000 Int. $","1834489","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1976","1976","1000 Int. $","1509102","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1977","1977","1000 Int. $","1965768","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1978","1978","1000 Int. $","2048469","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1979","1979","1000 Int. $","1701203","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1980","1980","1000 Int. $","2216080","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1981","1981","1000 Int. $","2985285","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1982","1982","1000 Int. $","1762627","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1983","1983","1000 Int. $","883020","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1984","1984","1000 Int. $","962911","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1985","1985","1000 Int. $","1694980","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1986","1986","1000 Int. $","1726294","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1987","1987","1000 Int. $","1583775","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1988","1988","1000 Int. $","1539614","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1989","1989","1000 Int. $","2505335","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1990","1990","1000 Int. $","1842719","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1991","1991","1000 Int. $","1729105","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1992","1992","1000 Int. $","657798","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1993","1993","1000 Int. $","2006717","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1994","1994","1000 Int. $","2664716","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1995","1995","1000 Int. $","976761","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1996","1996","1000 Int. $","2041644","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1997","1997","1000 Int. $","2034619","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1998","1998","1000 Int. $","1544231","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","1999","1999","1000 Int. $","1595016","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2000","2000","1000 Int. $","2294603","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2001","2001","1000 Int. $","1560088","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2002","2002","1000 Int. $","2022575","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2003","2003","1000 Int. $","1948103","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2004","2004","1000 Int. $","1949121","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2005","2005","1000 Int. $","2351765","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2006","2006","1000 Int. $","1392087","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2007","2007","1000 Int. $","1430215","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2008","2008","1000 Int. $","2549295","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2009","2009","1000 Int. $","2418819","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2010","2010","1000 Int. $","2572379","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2011","2011","1000 Int. $","2079583","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2012","2012","1000 Int. $","2433002","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2013","2013","1000 Int. $","2370764","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2014","2014","1000 Int. $","2860430","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2015","2015","1000 Int. $","2133539","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2016","2016","1000 Int. $","1648860","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2017","2017","1000 Int. $","3523046","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2018","2018","1000 Int. $","2630386","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2019","2019","1000 Int. $","2373490","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2020","2020","1000 Int. $","3180305","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2021","2021","1000 Int. $","3386489","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1991","1991","1000 SLC","3075198","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1992","1992","1000 SLC","1481204","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1993","1993","1000 SLC","4118764","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1994","1994","1000 SLC","4845375","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1995","1995","1000 SLC","2807682","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1996","1996","1000 SLC","6021232","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1997","1997","1000 SLC","5980240","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1998","1998","1000 SLC","4415782","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","1999","1999","1000 SLC","5355604","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2000","2000","1000 SLC","6229995","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2001","2001","1000 SLC","6893764","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2002","2002","1000 SLC","13753740","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2003","2003","1000 SLC","9064470","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2004","2004","1000 SLC","8117619","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2005","2005","1000 SLC","7381047","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2006","2006","1000 SLC","6803290","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2007","2007","1000 SLC","10331250","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2008","2008","1000 SLC","21158200","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2009","2009","1000 SLC","15725250","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2010","2010","1000 SLC","12879075","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2011","2011","1000 SLC","15861160","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2012","2012","1000 SLC","23877692","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2013","2013","1000 SLC","23692064","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2014","2014","1000 SLC","27203250","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2015","2015","1000 SLC","24860763","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2016","2016","1000 SLC","26466281","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2017","2017","1000 SLC","29784047","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2018","2018","1000 SLC","29744451","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2019","2019","1000 SLC","27779137","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2020","2020","1000 SLC","38231425","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2021","2021","1000 SLC","41777264","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1961","1961","1000 SLC","13179570","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1962","1962","1000 SLC","14999760","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1963","1963","1000 SLC","15256230","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1964","1964","1000 SLC","10731900","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1965","1965","1000 SLC","11473920","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1966","1966","1000 SLC","12850890","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1967","1967","1000 SLC","24406980","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1968","1968","1000 SLC","13341420","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1969","1969","1000 SLC","13391220","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1970","1970","1000 SLC","15385710","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1971","1971","1000 SLC","21523560","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1972","1972","1000 SLC","23717250","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1973","1973","1000 SLC","10462980","E","Estimated value"
