Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1961","1961","1000 Int. $","72777","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1962","1962","1000 Int. $","39354","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1963","1963","1000 Int. $","59087","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1964","1964","1000 Int. $","55828","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1965","1965","1000 Int. $","89934","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1966","1966","1000 Int. $","68211","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1967","1967","1000 Int. $","158144","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1968","1968","1000 Int. $","43229","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1969","1969","1000 Int. $","43229","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1970","1970","1000 Int. $","82331","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1971","1971","1000 Int. $","119694","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1972","1972","1000 Int. $","110788","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1973","1973","1000 Int. $","48225","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1974","1974","1000 Int. $","148803","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1975","1975","1000 Int. $","87979","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1976","1976","1000 Int. $","67342","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1977","1977","1000 Int. $","91020","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1978","1978","1000 Int. $","134683","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1979","1979","1000 Int. $","81896","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1980","1980","1000 Int. $","154451","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1981","1981","1000 Int. $","120129","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1982","1982","1000 Int. $","65604","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1983","1983","1000 Int. $","48008","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1984","1984","1000 Int. $","108181","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1985","1985","1000 Int. $","136421","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1986","1986","1000 Int. $","105792","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1987","1987","1000 Int. $","147065","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1988","1988","1000 Int. $","141417","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1989","1989","1000 Int. $","111005","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1990","1990","1000 Int. $","74076","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1991","1991","1000 Int. $","65604","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1992","1992","1000 Int. $","25633","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1993","1993","1000 Int. $","111954","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1994","1994","1000 Int. $","113000","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1995","1995","1000 Int. $","63118","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1996","1996","1000 Int. $","116401","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1997","1997","1000 Int. $","94142","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1998","1998","1000 Int. $","77871","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","1999","1999","1000 Int. $","48558","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2000","2000","1000 Int. $","102699","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2001","2001","1000 Int. $","44787","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2002","2002","1000 Int. $","56046","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2003","2003","1000 Int. $","56480","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2004","2004","1000 Int. $","81027","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2005","2005","1000 Int. $","56480","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2006","2006","1000 Int. $","20854","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2007","2007","1000 Int. $","38233","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2008","2008","1000 Int. $","55394","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2009","2009","1000 Int. $","60064","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2010","2010","1000 Int. $","42686","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2011","2011","1000 Int. $","33671","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2012","2012","1000 Int. $","29326","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2013","2013","1000 Int. $","31976","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2014","2014","1000 Int. $","57566","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2015","2015","1000 Int. $","26176","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2016","2016","1000 Int. $","15315","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2017","2017","1000 Int. $","33019","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0114","Sorghum","2018","2018","1000 Int. $","24982","E","Estimated value"
