Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1961","1961","1000 Int. $","206280","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1962","1962","1000 Int. $","166966","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1963","1963","1000 Int. $","208411","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1964","1964","1000 Int. $","251041","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1965","1965","1000 Int. $","155361","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1966","1966","1000 Int. $","129783","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1967","1967","1000 Int. $","255067","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1968","1968","1000 Int. $","295328","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1969","1969","1000 Int. $","311669","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1970","1970","1000 Int. $","330616","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1971","1971","1000 Int. $","395507","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1972","1972","1000 Int. $","413506","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1973","1973","1000 Int. $","443110","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1974","1974","1000 Int. $","377982","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1975","1975","1000 Int. $","424401","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1976","1976","1000 Int. $","532395","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1977","1977","1000 Int. $","445005","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1978","1978","1000 Int. $","400718","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1979","1979","1000 Int. $","494266","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1980","1980","1000 Int. $","348615","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1981","1981","1000 Int. $","557973","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1982","1982","1000 Int. $","578814","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1983","1983","1000 Int. $","422506","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1984","1984","1000 Int. $","555605","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1985","1985","1000 Int. $","400954","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1986","1986","1000 Int. $","552526","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1987","1987","1000 Int. $","746964","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1988","1988","1000 Int. $","857327","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1989","1989","1000 Int. $","476030","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1990","1990","1000 Int. $","404744","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1991","1991","1000 Int. $","507291","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1992","1992","1000 Int. $","313564","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1993","1993","1000 Int. $","469818","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1994","1994","1000 Int. $","435859","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1995","1995","1000 Int. $","468275","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1996","1996","1000 Int. $","642283","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1997","1997","1000 Int. $","575224","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1998","1998","1000 Int. $","448103","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","1999","1999","1000 Int. $","410435","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2000","2000","1000 Int. $","575049","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2001","2001","1000 Int. $","593012","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2002","2002","1000 Int. $","577333","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2003","2003","1000 Int. $","366339","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2004","2004","1000 Int. $","399533","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2005","2005","1000 Int. $","451163","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2006","2006","1000 Int. $","498529","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2007","2007","1000 Int. $","451163","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2008","2008","1000 Int. $","504449","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2009","2009","1000 Int. $","463715","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2010","2010","1000 Int. $","338668","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2011","2011","1000 Int. $","474846","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2012","2012","1000 Int. $","453531","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2013","2013","1000 Int. $","442873","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2014","2014","1000 Int. $","414454","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2015","2015","1000 Int. $","341036","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2016","2016","1000 Int. $","452347","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2017","2017","1000 Int. $","363535","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2018","2018","1000 Int. $","442400","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2019","2019","1000 Int. $","363535","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2020","2020","1000 Int. $","502081","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","152","Gross Production Value (constant 2014-2016 thousand I$)","0111","Wheat","2021","2021","1000 Int. $","534576","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1991","1991","1000 SLC","1330182","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1992","1992","1000 SLC","944012","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1993","1993","1000 SLC","1493779","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1994","1994","1000 SLC","1389487","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1995","1995","1000 SLC","1567962","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1996","1996","1000 SLC","2454352","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1997","1997","1000 SLC","1986791","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1998","1998","1000 SLC","1528801","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","1999","1999","1000 SLC","1665442","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","2000","2000","1000 SLC","2828737","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","2001","2001","1000 SLC","3560617","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","2002","2002","1000 SLC","3832135","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","2003","2003","1000 SLC","2208888","E","Estimated value"
"QV","Value of Agricultural Production","710","South Africa","56","Gross Production Value (current thousand SLC)","0111","Wheat","2004","2004","1000 SLC","1840517","E","Estimated value"
